ccy,average_return
USDAUD,-7.189755680348013e-05
USDNZD,-0.00016934421594861404
USDEUR,-9.426006764743943e-05
USDGBP,0.00019843582884365797
USDCAD,-8.14901958933676e-05
USDCHF,-0.0004736875475993688
USDJPY,0.0001777011443883503
AUDNZD,-5.17004008985466e-05
EURAUD,6.237809406355561e-05
GBPAUD,-0.00022062464636523813
AUDCAD,0.00014198462507737726
AUDCHF,-0.00020682698194988828
AUDJPY,0.0005223685649795696
EURNZD,-3.9025931551080686e-05
GBPNZD,-0.0003177799525061905
NZDCAD,0.0002633893816155557
NZDCHF,-0.00010725827934094481
NZDJPY,0.0006196862082622635
EURGBP,0.0003488091258302122
EURCAD,0.00010019053308697071
EURCHF,-0.00035750381992686724
EURJPY,0.0003746042864471312
GBPCAD,-0.00018328320700113586
GBPCHF,-0.0005945558613876035
GBPJPY,0.00011988328485784664
CADCHF,-0.0003097015400265445
CADJPY,0.00039417727348905893
CHFJPY,0.0007824070251916947
